Text,Author,Title,Year,Original (if translated),Genre,Publisher Location,Publisher Name,Nationality of Author,Keywords,Origin,first_name,gender_signal,polarity
1897-Alice-Macdonald-Fleming-A-Pinchbeck-Goddess-1897-fiction.txt,Alice MacDonald Fleming,A Pinchbeck Goddess,1897,,Fiction,New York,D. Appleton and Co.,British,,HathiTrust,Alice,F,0.0837460960068408
Alice-Elizabeth-Dracott-Simla-Village-Tales-or-Folk-Tales-from-the-Himalayas-1906-fiction.txt,Alice Elizabeth Dracott,"Simla Village Tales, Or, Folk Tales from the Himalayas",1906,,Fiction,London,John Murray,British,,,Alice,F,0.1162152448633448
Annie-Besant-The-Case-for-India-1917-Nonfiction.txt,Annie Besant,"The Case for India: The Presidential Address Delivered by Annie Besant at the Thirty-Second Indian National Congress Held at Calcutta, 26th December 1917",1917,,Nonfiction,London,The Home Rule for India League (British Section),British,Speech,Gutenberg,Annie,F,0.12489190324757307
Arthur-Conan-Doyle-The-Sign-of-the-Four-1890.txt,Arthur Conan Doyle,The Sign of the Four,1890,,Fiction,"London, Philadelphia",Lippincott's Monthly Magazine,British,,Gutenberg,Arthur,M,0.058900100908972325
B-M-Croker-Dianna-Barrington-A-Romance-of-Central-India-1888-fiction.txt,Bithia Mary Croker,Diana Barrington: A Romance of Central India,1888,,Fiction,New York,"George Munro, Publisher",Irish,,HathiTrust,Bithia,F,0.08787437677383529
B-M-Croker-Proper-Pride-1882-fiction.txt,Bithia Mary Croker,Proper Pride,1882,,Fiction,London,Tinsley Brothers,Irish,,HathiTrust,Bithia,F,0.08710156923074011
B-M-Croker-Rolling-Stone-1911.txt,Bithia Mary Croker,A Rolling Stone,1911,,Fiction,London,F.V. White & Co.,Irish,,HathiTrust,Bithia,F,0.09844408267045049
Bankim-Chandra-Chatterji-Anandamath-Dawn-Over-India-Translation-1940.txt,Bankim Chandra Chatterji,Anandamath: Dawn Over india,1941,1882.0,Fiction,New York,Devin-Adair Company,South Asian,Translation; Translated by Basanta Koomar Roy. Translation 1941. Not copyrighted in the U.S.; Indian nationalism; Allegory,HathiTrust,Bankim,M,0.10564897382007793
Bankim-Chandra-Chatterji-Kapalkundala-Translation-1919-fiction.txt,Bankim Chandra Chatterji,Kapalkundala,1919,1866.0,Fiction,Calcutta,K.M. Bagchi,South Asian,Translation; translated by Devendra nath Ghose,Wikisource,Bankim,M,0.07021193224103059
Bankim-Chandra-Chatterji-Krishnakantas-Will-1917-fiction-translation.txt,Bankim Chandra Chatterji,Krishnakanta's Will,1917,1878.0,Fiction,,,South Asian,Translation; Translated by Dakshina Charan Roy,HathiTrust,Bankim,M,0.09605603107299883
